Title,Type,genres,releaseYear,Imbid,imbdAverageRating,imbdNumVotes,availableCountries
Addams Family Values,movie,"Comedy, Fantasy",1993,tt0106220,6.8,113888,JP
The Addams Family,movie,"Comedy, Fantasy",1991,tt0101272,6.9,186724,JP
One on Top of the Other,movie,"Horror, Mystery, Thriller",1969,tt0065148,6.6,2769,JP
Doctor Dolittle,movie,"Comedy, Family, Fantasy",1998,tt0118998,5.4,103566,US
The Searchers,movie,"Adventure, Drama, Western",1956,tt0049730,7.8,98175,JP
Battle Royale,movie,"Action, Adventure, Drama",2000,tt0266308,7.5,197329,JP
Battle Royale II,movie,"Action, Adventure, Drama",2003,tt0338763,4.6,21671,JP
"Good Night, and Good Luck.",movie,"Biography, Drama, History",2005,tt0433383,7.4,102062,JP
Under Siege 2: Dark Territory,movie,"Action, Adventure, Thriller",1995,tt0114781,5.6,50954,JP
Bogus,movie,"Comedy, Family, Fantasy",1996,tt0115725,5.4,7128,US
I Still Know What You Did Last Summer,movie,"Horror, Mystery, Thriller",1998,tt0130018,4.8,80441,US
Black Sheep,movie,"Comedy, Horror, Sci-Fi",2006,tt0779982,5.8,42445,JP
Flags of Our Fathers,movie,"Action, Adventure, Drama",2006,tt0418689,7.1,130560,JP
Beetlejuice,movie,"Comedy, Fantasy",1988,tt0094721,7.5,387263,JP
That Man from Rio,movie,"Action, Adventure, Comedy",1964,tt0058203,7,6451,JP
Women on the Verge of a Nervous Breakdown,movie,"Comedy, Drama",1988,tt0095675,7.5,47556,JP
Scream,movie,"Horror, Mystery",1996,tt0117571,7.4,404189,JP
The Kingdom,movie,"Action, Drama, Thriller",2007,tt0431197,7,133559,JP
Bordertown,movie,"Crime, Mystery, Thriller",2007,tt0445935,6,11540,JP
"Jamón, Jamón",movie,"Comedy, Drama, Romance",1992,tt0104545,6.4,15424,JP
The Machinist,movie,"Drama, Thriller",2004,tt0361862,7.6,422196,JP
The Story of O,movie,Drama,1975,tt0073115,5.3,7072,JP
The Guardian,movie,"Action, Adventure, Drama",2006,tt0406816,6.9,99600,US
The Sensuous Nurse,movie,Comedy,1975,tt0074682,4.8,859,JP
Gone Baby Gone,movie,"Crime, Drama, Mystery",2007,tt0452623,7.6,297876,JP
Obsession,movie,"Drama, Mystery, Thriller",1976,tt0074991,6.7,12241,JP
The Jackal,movie,"Action, Crime, Drama",1997,tt0119395,6.4,126099,JP
The Curious Case of Benjamin Button,movie,"Drama, Fantasy, Romance",2008,tt0421715,7.8,708002,JP
10 Things I Hate About You,movie,"Comedy, Drama, Romance",1999,tt0147800,7.3,401544,US
3:10 to Yuma,movie,"Action, Crime, Drama",2007,tt0381849,7.6,337205,JP
Teorema,movie,"Drama, Mystery",1968,tt0063678,7,15674,JP
Lisa and the Devil,movie,"Horror, Mystery",1973,tt0068863,6.2,5553,JP
Baron Blood,movie,Horror,1972,tt0069048,5.9,4392,JP
A Bay of Blood,movie,"Horror, Mystery, Thriller",1971,tt0067656,6.5,13285,JP
Le Samouraï,movie,"Crime, Drama, Thriller",1967,tt0062229,8,60300,JP
Donkey Skin,movie,"Comedy, Fantasy, Musical",1970,tt0066207,7,6662,JP
Sky High,movie,"Action, Adventure, Drama",2002,tt0398563,6.1,1518,JP
Papillon,movie,"Biography, Crime, Drama",1973,tt0070511,8,140316,JP
The Umbrellas of Cherbourg,movie,"Drama, Musical, Romance",1964,tt0058450,7.8,32167,JP
The Family Man,movie,"Comedy, Drama, Fantasy",2000,tt0218967,6.8,121373,JP
Romeo and Juliet,movie,"Drama, Romance",1968,tt0063518,7.6,35296,JP
Six Days Seven Nights,movie,"Action, Adventure, Comedy",1998,tt0120828,5.9,84573,US
Sister Act 2: Back in the Habit,movie,"Comedy, Family, Music",1993,tt0108147,5.7,60129,JP
I Am Legend,movie,"Action, Drama, Horror",2007,tt0480249,7.2,832499,JP
27 Dresses,movie,"Comedy, Romance",2008,tt0988595,6.1,177981,US
The Man Without a Past,movie,"Comedy, Drama, Romance",2002,tt0311519,7.6,26892,JP
Equilibrium,movie,"Action, Drama, Sci-Fi",2002,tt0238380,7.3,351194,JP
Running Scared,movie,"Action, Crime, Drama",2006,tt0404390,7.3,104436,JP
