Title,Type,genres,releaseYear,Imbid,imbdAverageRating,imbdNumVotes,availableCountries
Fire Spark,tv,Mystery,2016,tt5357162,6.1,16,JP
Utsubokazura no yume,tv,Drama,2017,tt7181536,,,JP
Otôsan to yobasete,tv,Drama,2016,tt5238188,7,35,JP
Asa ga kuru,tv,Drama,2016,tt5644720,6.1,11,JP
Pamela Smart: An American Murder Mystery,tv,"Crime, Documentary",2018,tt8757062,6.6,266,US
Light as a Feather,tv,"Drama, Fantasy, Horror",2018,tt8619822,6.5,4126,US
Ferris Wheel at Night,tv,Mystery,2013,tt2496624,6.7,40,JP
Eerie: Invisible Face,tv,Drama,2018,tt8924872,6.5,66,JP
Neko zamurai,tv,"Action, Comedy, History",2013,tt3303752,7.2,138,JP
,tv,,2018,,,,JP
Double Decker! Doug & Kirill,tv,Animation,2018,tt8489330,6.7,126,JP
Grand Hotel,tv,"Crime, Drama, Mystery",2019,tt7671068,7,3991,US
,tv,Reality,2015,,,,US
Press,tv,Drama,2018,tt7547518,7.5,2818,JP
Retake,tv,Sci-Fi,2016,tt6232446,,,JP
Find Me in Paris,tv,"Comedy, Drama, Family",2018,tt7150060,6.9,1318,US
Goblin Slayer,tv,"Action, Adventure, Animation",2018,tt8690728,7.4,11110,JP
Neuro: Supernatural Detective,tv,"Animation, Comedy, Mystery",2007,tt6565980,6.8,78,JP
The True Culprit,tv,"Drama, Mystery, Thriller",2018,tt9189814,7.1,11,JP
Behind the Mask,tv,"Documentary, Sport",2013,tt2884130,7.5,173,"JP, US"
Bless the Harts,tv,"Animation, Comedy",2019,tt9068332,5.9,2511,US
Bajo el mismo cielo,tv,Drama,2015,tt4433296,7.3,110,US
Rascal Does Not Dream of Bunny Girl Senpai,tv,"Animation, Drama, Fantasy",2018,tt8993398,8,18132,US
Catch-22,tv,"Action, Comedy, Drama",2019,tt5056196,7.7,21215,US
Jingai-san no Yome,tv,Animation,2018,tt9150104,4.8,111,JP
Weakest Beast,tv,"Drama, Romance",2018,tt9109776,6.9,528,JP
Zombieland Saga,tv,"Animation, Comedy, Fantasy",2018,tt9054354,7.1,1522,JP
Boarding School Juliet,tv,"Action, Animation, Comedy",2018,tt8496638,7.3,1030,JP
Himote House,tv,"Animation, Comedy, Fantasy",2018,tt9074304,7.2,88,JP
BAKUMATSU,tv,"Action, Animation",2018,tt13759914,,,JP
Hinomaru Sumo,tv,"Animation, Sport",2018,tt10066026,7.2,305,JP
Bloom Into You,tv,"Animation, Drama, Romance",2018,tt8993464,7.8,2072,US
Dakaichi: I'm Being Harassed by the Sexiest Man of the Year-,tv,"Animation, Comedy, Drama",2018,tt9085692,7.3,1496,JP
Kekkon Aite wa Chusen de,tv,"Drama, Romance",2018,tt8924130,6.5,40,JP
Radiant,tv,"Adventure, Animation, Fantasy",2018,tt9225320,6.7,699,JP
The Act,tv,"Biography, Crime, Drama",2019,tt8682948,7.8,39558,US
SSSS.Gridman,tv,"Action, Adventure, Animation",2018,tt8747928,7,905,JP
,tv,Comedy,2018,,,,JP
Miracles,tv,Drama,2018,tt9471764,7.2,187,JP
,tv,Animation,2018,,,,JP
The Rising of the Shield Hero,tv,"Action, Adventure, Animation",2019,tt9529546,7.8,18601,"JP, US"
The Promised Neverland,tv,"Action, Adventure, Animation",2019,tt8788458,8.2,49776,US
W'z,tv,"Action, Adventure, Animation",2019,tt12052708,6,20,JP
Dororo,tv,"Action, Adventure, Animation",2019,tt9458304,8.2,22313,JP
"How Clumsy You Are, Miss Ueno.",tv,"Animation, Comedy, Romance",2019,tt9567240,6,227,JP
"From Today, It's My Turn",tv,"Action, Comedy, Drama",2018,tt8207660,7.6,1169,JP
Pastel Memories,tv,"Adventure, Animation",2019,tt9520752,4.5,25,JP
Kaguya-sama: Love is War,tv,"Animation, Comedy, Romance",2019,tt9522300,8.5,22012,"JP, US"
Virtual Detective Tabito Higurashi,tv,Mystery,2017,tt6262968,7,29,JP
Hokuto: Aru satsujinsha no kaishin,tv,Mystery,2017,tt6207198,8.5,20,JP
Plage,tv,"Comedy, Drama, Mystery",2017,tt6713140,7.2,23,JP
The Bisexual,tv,"Comedy, Drama, Romance",2018,tt8050586,6.5,1447,US
Meet Me After School,tv,"Drama, Romance",2018,tt9271566,7.3,571,JP
Eva La Trailera,tv,"Adventure, Comedy, Family",2016,tt5191206,7.3,63,US
Steel Frame,tv,Drama,2010,tt1685417,,,JP
Legal V: Ex-lawyer Shoko Takanashi,tv,Drama,2018,tt9429696,6.7,156,JP
Impuros,tv,"Action, Crime, Drama",2018,tt9070896,8.1,1003,US
Bahamas Life,tv,Reality-TV,2018,tt8041992,7.1,49,US
Brass Dreams,tv,"Drama, Music",2016,tt5797166,8.4,73,JP
Kôkô kyôshi,tv,"Crime, Drama, Romance",1993,tt0197157,8.1,132,JP
Mioka,tv,Drama,2010,tt1655894,6.3,47,JP
Prisoner,tv,Drama,2008,tt1323900,6.9,16,JP
,tv,Reality,2018,,,,US
Mrs. America,tv,"Biography, Drama, History",2020,tt9244556,7.9,13872,US
What We Do in the Shadows,tv,"Comedy, Fantasy, Horror",2019,tt7908628,8.6,109328,US
Kulipari: Dream Walker,tv,"Action, Adventure, Animation",2018,tt9203064,6.7,125,US
Gonin no Junko,tv,Thriller,2015,tt4969474,7.5,15,JP
Evil Money,tv,Mystery,2014,tt3973810,6.1,9,JP
The Laughing Salesman,tv,"Animation, Comedy, Drama",1989,tt2800436,7.2,70,JP
Black Revenge,tv,Mystery,2017,tt7330220,5.8,12,JP
Das Boot,tv,"Drama, War",2018,tt5830254,7.5,10320,US
Blood Runs Cold,tv,"Drama, Mystery, Reality-TV",2018,tt9387570,7.2,80,US
Chihayafuru: Connect,tv,"Comedy, Drama, Sport",2018,tt8976046,6.3,117,JP
,tv,,2017,,,,JP
Married at First Sight: Honeymoon Island,tv,Reality-TV,2018,tt8994522,5.8,47,US
Doctor Car,tv,Drama,2016,tt5426000,,,JP
,tv,"Animation, Sci-Fi & Fantasy",2019,,,,JP
Gisô no Fûfu,tv,"Comedy, Drama, Romance",2015,tt4898736,6.5,60,JP
Gonzô: Densetsu no keiji,tv,Drama,2008,tt1256555,7.2,21,JP
Giruti: Akuma to keiyaku shita onna,tv,Drama,2010,tt1704566,7,76,JP
,tv,Drama,2013,,,,JP
Four Weddings and a Funeral,tv,"Comedy, Romance",2019,tt7587362,7.2,6459,US
ST ~ Aka to Shiro no Sôsa File,tv,Thriller,2014,tt3725950,6.7,61,JP
Criminal Syndrome,tv,"Mystery, Thriller",2017,tt6598204,7.1,12,JP
Married at First Sight: Second Chances,tv,Reality-TV,2017,tt6958600,6,49,US
,tv,Drama,2011,,,,JP
Hokusai to meshi sae areba,tv,Drama,2017,tt6258908,7.1,10,JP
Indigo no yoru,tv,Mystery,2010,tt1608707,,,JP
,tv,Drama,2015,,,,JP
,tv,Drama,2007,,,,JP
Princess in Prison,tv,Drama,2017,tt7256288,6.9,91,JP
Kanna san!,tv,Comedy,2017,tt6886310,7.1,13,JP
,tv,"Crime, Drama",2003,,,,JP
,tv,Drama,2018,,,,JP
,tv,"Animation, Comedy",2018,,,,JP
My Roommate Is a Cat,tv,"Animation, Comedy, Drama",2019,tt9522316,7.7,935,JP
,tv,"Animation, Sci-Fi & Fantasy, Action & Adventure",2019,,,,JP
Wataten! An Angel Flew Down to Me,tv,"Animation, Comedy",2019,tt9622614,6.7,417,JP
The Quintessential Quintuplets,tv,"Animation, Comedy, Drama",2019,tt9584920,7.6,7745,JP
Koi ga Heta de mo Ikitemasu,tv,Romance,2017,tt6559270,7.2,21,JP
,tv,"Drama, Crime",2013,,,,JP
,tv,"Documentary, Reality",2018,,,,US
The Masked Singer,tv,"Family, Music, Reality-TV",2019,tt7670568,5.8,5471,US
,tv,Drama,2017,,,,JP
"Mô ichido kimi ni, puropôzu",tv,Romance,2012,tt2282307,7.3,16,JP
Shrill,tv,"Comedy, Drama",2019,tt8962130,7.4,9498,US
,tv,"Crime, Documentary, Mystery",2018,,,,US
Katana Maidens: Mini Toji,tv,Animation,2019,tt32141547,,,JP
Bloom,tv,"Drama, Mystery, Sci-Fi",2019,tt8888322,6.7,1956,US
Deadly Secrets,tv,Crime,2019,tt9416960,7.2,70,US
Coroner,tv,"Crime, Drama, Mystery",2019,tt8593252,6.8,5471,US
Cleaning Up,tv,"Crime, Drama",2019,tt8804656,6.2,2332,JP
PEN 15.00,tv,Comedy,2019,tt8324422,8.1,14688,US
Godhand Teru,tv,Drama,2009,tt1411809,7.1,37,JP
Kono Oto Tomare!,tv,"Animation, Drama, Music",2019,tt9886006,8,1441,"JP, US"
Wise Man's Grandchild,tv,"Action, Adventure, Animation",2019,tt9828724,6.9,3492,JP
Demon Slayer: Kimetsu no Yaiba,tv,"Action, Adventure, Animation",2019,tt9335498,8.6,168803,"JP, US"
Darwin's Game,tv,"Action, Animation, Drama",2020,tt11405390,7.2,3615,US
Yuube wa Otanoshimi Deshita ne,tv,Romance,2019,tt9828212,6.4,29,JP
Fruits Basket,tv,"Animation, Comedy, Drama",2019,tt9304350,8.6,10138,"JP, US"
,tv,"Family, Drama",2019,,,,JP
Nusumareta Kao,tv,Mystery,2019,tt9663604,5.5,35,JP
Dr. Stone,tv,"Action, Adventure, Animation",2019,tt9679542,8.1,30829,"JP, US"
A Story to Read When You First Fall in Love,tv,"Comedy, Drama, Romance",2019,tt9187714,6.9,190,JP
Bless This Mess,tv,Comedy,2019,tt9418572,6.9,4980,US
The First 48 Presents: Homicide Squad Atlanta,tv,Reality-TV,2019,tt9303692,8.1,342,US
Maison de Police,tv,Comedy,2019,tt10028556,6.3,45,JP
Quarter Life Poetry,tv,Comedy,2019,tt9652752,8.5,56,US
Secrets of the Zoo,tv,Reality-TV,2018,tt8879238,8.3,384,US
Setsuyaku Rokku,tv,Comedy,2019,tt10497536,,,JP
Presidents at War,tv,History,2019,tt9787504,7,85,US
Fairy gone,tv,"Action, Animation, Fantasy",2019,tt9828600,5.7,444,"JP, US"
Extreme Love,tv,Reality-TV,2018,tt9170196,5.3,58,US
Tokkan: tokubetsu kokuzei chôshûkan,tv,Drama,2012,tt2400907,6.7,15,JP
Ohitori sama,tv,"Comedy, Drama",2009,tt1508126,7.2,60,JP
,tv,Drama,2019,,,,JP
Sarazanmai,tv,"Animation, Comedy, Fantasy",2019,tt8096510,6.9,391,JP
Wild Heroes,tv,Action,2015,tt4442718,6.3,16,JP
,tv,Crime,2015,,,,JP
Napoleon Ville,tv,Drama,2015,tt4724346,6.7,11,JP
Rent-a-Rescue,tv,Comedy,2016,tt5969612,6.2,6,JP
,tv,Crime,2014,,,,JP
The Flying Tire,tv,Drama,2009,tt1456793,7.5,21,JP
Bakugan: Battle Planet,tv,"Action, Adventure, Animation",2018,tt9527662,4.5,322,JP
,tv,"Animation, Drama, Sci-Fi & Fantasy",2017,,,,JP
Ramy,tv,"Comedy, Drama, Romance",2019,tt7649694,8,16925,US
Maji de kôkai shitemasu,tv,Comedy,2017,tt6960754,4.9,231,JP
Why Women Kill,tv,"Comedy, Crime, Drama",2019,tt9054904,8.3,32962,JP
Kabukichou Sherlock,tv,"Animation, Comedy, Drama",2019,tt9885888,6.3,249,US
Isekai Quartet,tv,"Animation, Comedy, Fantasy",2019,tt9193770,6.9,952,JP
,tv,"Mystery, Crime",2019,,,,JP
,tv,"Mystery, Drama",2018,,,,JP
Lost Gold of WW2,tv,"Documentary, Reality-TV",2019,tt9799150,6.3,477,US
Buddy vs. Duff,tv,"Game-Show, Reality-TV",2019,tt9625944,5.8,343,US
Friend Game,tv,Drama,2017,tt6127014,6.5,75,JP
Unidentified: Inside America's UFO Investigation,tv,"Documentary, History, Sci-Fi",2019,tt10016814,7.5,1106,US
Lost Treasures of Egypt,tv,"Documentary, History",2019,tt10115054,7.7,553,US
Granbelm,tv,Animation,2019,tt10395126,6.5,74,JP
Given,tv,"Animation, Drama, Music",2019,tt10479420,8.2,5328,JP
Astra Lost in Space,tv,"Action, Adventure, Animation",2019,tt10483250,7.9,1913,"JP, US"
O Maidens in Your Savage Season,tv,"Animation, Comedy, Drama",2019,tt10417586,7.2,992,JP
Fire Force,tv,"Action, Animation, Drama",2019,tt9307686,7.6,12301,"JP, US"
Ensemble Stars,tv,Animation,2019,tt10820286,6.9,54,JP
The Ones Within,tv,"Animation, Comedy, Drama",2019,tt10452436,6.2,238,US
Cop Craft,tv,"Action, Animation, Crime",2019,tt10347516,6.6,505,US
Wasteful Days of High School Girls,tv,"Animation, Comedy, Drama",2019,tt10470444,7.3,364,JP
BEM,tv,"Animation, Horror",2019,tt10423424,6,260,"JP, US"
Try Knights,tv,"Animation, Sport",2019,tt13799316,4.9,19,JP
How To Make Women Feel Better,tv,Comedy,2019,tt9866320,,,JP
Inspector Zenigata,tv,"Action, Comedy, Crime",2017,tt6115012,6.7,29,JP
,tv,Reality,2019,,,,US
,tv,Mystery,2019,,,,JP
Hustle & Soul,tv,Reality-TV,2017,tt6666492,8,54,US
BUSINESSMEN VS ALIENS,tv,"Comedy, Sci-Fi",2016,tt5989844,4.9,49,JP
Mediterranean Life,tv,Reality-TV,2017,tt13020234,8.3,87,US
Snack World,tv,"Action, Adventure, Animation",2017,tt8947808,5.7,17,JP
Astrid et Raphaëlle,tv,"Crime, Drama, Thriller",2019,tt11950864,8.2,3502,JP
Dark Side of the Ring,tv,"Documentary, Drama, History",2019,tt9159144,8.7,4108,US
Arthdal Chronicles,tv,"Action, Drama, Fantasy",2019,tt8750956,8.3,6286,US
Perfect World,tv,Romance,2019,tt9688298,7.3,146,JP
It Is Your Turn,tv,"Crime, Mystery",2019,tt9679644,7.1,812,JP
"Watashi, Teiji de Kaerimasu",tv,Drama,2019,tt9657710,6.5,239,JP
,tv,"Comedy, Drama",2019,,,,JP
Women's Special Investigation Unit Frontline,tv,"Crime, Drama",2016,tt5842572,,,JP
,tv,"Comedy, Drama, Family",2019,,,,JP
Dansui!,tv,Comedy,2017,tt6235696,6.8,7,JP
Dias Police: Ihô Keisatsu,tv,"Crime, Drama, Thriller",2016,tt5182854,6.4,27,JP
Sakigake!! Otokojuku,tv,"Action, Animation, Comedy",1988,tt3486780,7.9,89,JP
Vinland Saga,tv,"Action, Adventure, Animation",2019,tt10233448,8.8,83886,JP
The Demon Girl Next Door,tv,"Animation, Comedy, Drama",2019,tt10417572,7.1,352,JP
,tv,Drama,2019,,,,JP
Mobile Suit Gundam: The Origin - Advent of the Red Comet,tv,"Action, Animation, Drama",2019,tt12899130,7.9,202,US
Heroes: Legend of the Battle Disks,tv,Animation,2015,tt8394246,7.5,21,JP
Sherman's Showcase,tv,"Comedy, Music",2019,tt7422812,7.1,479,US
Omotesandô Kôkô Gasshôbu!,tv,Comedy,2015,tt4739522,7,20,JP
Nine Perfect Strangers,tv,"Drama, Mystery, Thriller",2021,tt8760932,7,62551,US
Women of Tokyo's 23 Wards,tv,"Mystery, Romance",2019,tt9741242,6.3,23,JP
Holly Hobbie,tv,"Drama, Family, Music",2018,tt8602408,6.6,383,US
Yattâman,tv,"Action, Animation, Comedy",2008,tt1124358,6,39,JP
Silver Fang,tv,"Action, Adventure, Animation",1986,tt0362344,8.9,3248,JP
9-1-1: Lone Star,tv,"Action, Drama, Thriller",2020,tt10323338,7.3,23230,US
,tv,Mystery,2018,,,,JP
,tv,"Drama, Comedy",2019,,,,JP
Mixed-ish,tv,"Comedy, Family",2019,tt10276062,6.9,2990,US
,tv,"Comedy, Animation",2018,,,,JP
What Did You Eat Yesterday?,tv,"Comedy, Drama, Family",2019,tt9657792,8.1,672,JP
The L Word: Generation Q,tv,Drama,2019,tt7661384,7.4,8603,JP
The House on the Slope,tv,"Crime, Drama, Thriller",2019,tt10670870,7.3,317,JP
Library War,tv,"Action, Animation, Comedy",2008,tt1216223,7,208,JP
Everyone's Demoted!!,tv,Drama,2019,tt9573742,4.9,38,JP
Normal People,tv,"Drama, Romance",2020,tt9059760,8.4,97818,US
Ninku,tv,"Action, Adventure, Animation",1994,tt3755768,7.8,42,JP
Isekai Cheat Magician,tv,"Action, Adventure, Animation",2019,tt10431262,5.5,1261,JP
Little Fires Everywhere,tv,"Drama, Mystery, Thriller",2020,tt8089592,7.7,56894,US
Press Your Luck,tv,"Family, Game-Show",2019,tt10038600,6.5,553,US
Tokyo Vice,tv,"Crime, Drama, Thriller",2022,tt2887954,8,50164,JP
Return of Shelby the Swamp Man,tv,Documentary,2018,tt9425538,8.5,27,US
Tôfu Pro-Wrestling,tv,Comedy,2017,tt6825640,6.3,19,JP
Nurse Witch Komugi-chan R,tv,"Animation, Comedy, Fantasy",2016,tt5347634,5.6,28,JP
Panzer World Galient,tv,"Action, Animation, Fantasy",1984,tt1945851,7.3,24,JP
Love Island USA,tv,"Game-Show, Reality-TV",2019,tt8819906,5.2,1996,US
Holey Moley,tv,"Game-Show, Sport",2019,tt10133226,7.2,1426,US
,tv,,2019,,,,JP
The Bravest Knight,tv,"Animation, Family",2019,tt10394790,6.9,149,US
,tv,"Documentary, Crime",2018,,,,US
Cold Case Files,tv,"Crime, Documentary",2017,tt6459472,7.9,1791,US
Broken Bread,tv,Documentary,2019,tt10121228,8.9,89,US
Knights of the Zodiac: Saint Seiya,tv,"Action, Adventure, Animation",2019,tt6908976,4.7,2279,JP
Wu-Tang: An American Saga,tv,"Biography, Drama, Music",2019,tt9113406,8.3,12148,US
All Rise,tv,Drama,2019,tt10329042,7.1,6393,US
Juliet in the Rain,tv,Drama,2018,tt9070200,,,JP
Heaven?: Gokuraku Resutoran,tv,Mystery,2019,tt10097022,4.4,91,JP
"Science Fell in Love, So I Tried to Prove It",tv,"Animation, Comedy, Romance",2020,tt10635210,6.9,1093,JP
Oshi ga Budôkan ittekuretara shinu,tv,Animation,2020,tt11147864,6.9,134,JP
Afterschool Dice Club,tv,"Animation, Comedy, Drama",2019,tt11033944,6.6,217,"JP, US"
Afuro Tanaka,tv,Comedy,2019,tt10151176,6,21,JP
Journal of the Mysterious Creatures,tv,"Animation, Comedy, Fantasy",2019,tt10643294,6.8,53,JP
When Sharks Attack,tv,Documentary,2013,tt3097686,6,155,US
High School Prodigies Have It Easy Even in Another World!,tv,"Adventure, Animation, Comedy",2019,tt10671282,6.2,1111,JP
No Guns Life,tv,"Action, Animation, Sci-Fi",2019,tt10981954,6.6,786,US
Coffee and Vanilla,tv,Romance,2019,tt10495314,5.5,918,JP
Assassins Pride,tv,"Action, Adventure, Animation",2019,tt10973152,5.7,764,JP
,tv,Drama,2013,,,,JP
Masshiro,tv,Comedy,2015,tt4163934,6.9,9,JP
,tv,,2019,,,,JP
The UnXplained,tv,Documentary,2019,tt10098498,7.2,2034,US
Gordon Ramsay: Uncharted,tv,"Adventure, Reality-TV",2019,tt9165706,7.7,1933,US
Sign,tv,Mystery,2019,tt11322530,6.6,13,JP
Azur Lane,tv,"Action, Animation, Drama",2019,tt10980934,5.6,382,US
Scapegoat,tv,Mystery,2015,tt4426116,,,JP
Kakû OL Nikki,tv,Comedy,2017,tt6773194,7.9,51,JP
Nagi's Long Vacation,tv,"Comedy, Drama, Romance",2019,tt10380168,7.2,533,JP
Kemono Michi: Rise Up,tv,"Action, Adventure, Animation",2019,tt9635464,6.5,630,US
Chi no wadachi,tv,Mystery,2014,tt3306982,,,JP
I Shared My Husband,tv,Romance,2019,tt10448552,6.3,8,JP
This Way Up,tv,Comedy,2019,tt8430356,7.8,8457,US
60 Days In: Narcoland,tv,Reality-TV,2019,tt11271956,6.1,108,US
Sorcerous Stabber Orphen,tv,"Action, Adventure, Animation",2020,tt11349866,5.6,264,"JP, US"
Ascendance of a Bookworm,tv,"Adventure, Animation, Comedy",2019,tt10885406,7.8,1629,JP
"Welcome to Demon-School, Iruma-kun",tv,"Animation, Comedy, Drama",2019,tt11034066,7.6,2535,"JP, US"
Yamegoku: Yakuza yamete itadakimasu,tv,Comedy,2015,tt4457956,6.5,13,JP
Number 24,tv,Animation,2020,tt11428620,6.6,175,JP
Apollo: Back to the Moon,tv,"Documentary, History",2019,tt8781928,6.7,111,US
,tv,,2019,,,,JP
Everything's Gonna Be Okay,tv,"Comedy, Drama",2020,tt8680006,7.4,3213,US
,tv,Comedy,2019,,,,JP
For Life,tv,"Biography, Crime, Drama",2020,tt10327830,7.6,9555,US
Asu no kimi ga motto suki,tv,Drama,2018,tt7703946,5.7,9,JP
,tv,,2018,,,,JP
Beyond the Pole,tv,Reality-TV,2018,tt9032480,6.7,58,US
The Food That Built America,tv,"Documentary, History",2019,tt10098248,8.4,1630,US
Somali and the Forest Spirit,tv,"Adventure, Animation, Drama",2020,tt11428586,7.5,1137,JP
Deca-Dence,tv,"Action, Adventure, Animation",2020,tt12443322,7,1550,US
And Live,tv,"Drama, Romance",2019,tt10049420,4.9,92,JP
Orphan Black,tv,"Drama, Mystery",2017,tt7724320,5.8,36,JP
Babylon,tv,"Animation, Drama, Mystery",2019,tt10937632,6.4,765,JP
ID:Invaded,tv,"Animation, Crime, Drama",2020,tt10954274,7.5,3279,US
Brassic,tv,"Comedy, Drama",2019,tt9174582,8.4,14662,US
,tv,Drama,2018,,,,JP
Children of the Snow,tv,Documentary,2019,tt10019004,7,322,US
The Case That Haunts Me,tv,"Crime, Documentary",2018,tt9601246,7.6,313,US
Stars Align,tv,"Animation, Drama, Sport",2019,tt11008522,7.3,669,"JP, US"
Voice: Emergency Control Room 110,tv,"Crime, Mystery, Thriller",2019,tt10344670,6.8,36,JP
Sanditon,tv,"Drama, Romance",2019,tt8685324,7.7,18801,JP
Ahiru no Sora,tv,"Animation, Sport",2019,tt10937602,7.3,885,JP
Ueno Juri and the Five Bags,tv,"Comedy, Drama, Music",2009,tt10861002,,,JP
High & Low: The Worst Episode.0,tv,"Action, Comedy",2019,tt20866206,8.1,73,JP
Cake,tv,"Animation, Comedy",2019,tt10768172,6.5,721,US
,tv,Animation,2015,,,,JP
Plunderer,tv,"Action, Animation, Fantasy",2020,tt11418324,6.5,1760,US
The Great North,tv,"Animation, Comedy",2021,tt9140632,6.9,6057,US
The Detective Story,tv,"Action, Comedy",1979,tt0361245,8.5,40,JP
Cautious Hero: The Hero Is Overpowered but Overly Cautious,tv,"Action, Adventure, Animation",2019,tt10974198,7.3,3943,"JP, US"
Psychic Kids,tv,Talk-Show,2019,tt10926142,,,US
Breeders,tv,"Comedy, Drama",2020,tt8129450,7.6,8646,US
Duncanville,tv,"Animation, Comedy",2020,tt9073898,6.3,2626,US
,tv,Drama,2015,,,,JP
,tv,"Sci-Fi & Fantasy, Mystery",1997,,,,JP
Gal & Dino,tv,"Animation, Comedy",2020,tt12311920,6.8,63,JP
Shironeko Project: Zero Chronicle,tv,"Action, Animation, Fantasy",2020,tt11688122,5.5,263,"JP, US"
In/Spectre,tv,"Action, Animation, Comedy",2020,tt11328872,6.5,1425,JP
Ranwei de Waratte,tv,"Animation, Comedy, Drama",2020,tt11177400,6.8,283,"JP, US"
The Great,tv,"Biography, Comedy, Drama",2020,tt2235759,8.1,56779,US
Stand My Heroes: Piece of Truth,tv,Animation,2019,tt11157544,6.6,83,"JP, US"
Akutoo Kagaisha Tsuiseki Chousa,tv,Crime,2019,tt9778158,6.9,35,JP
A Destructive God Sits Next to Me,tv,"Animation, Comedy",2020,tt11296252,6.5,103,JP
Phantasy Star Online 2: Episode Oracle,tv,"Action, Animation, Fantasy",2019,tt10814346,6.5,27,US
Zekkyo,tv,"Crime, Drama, Mystery",2019,tt10436538,6.3,72,JP
,tv,Family,2018,,,,JP
,tv,"Action & Adventure, Animation, Comedy, Kids",2011,,,,JP
Vienna Blood,tv,"Crime, Drama, History",2019,tt9179616,7.6,9023,JP
Your Home Made Perfect,tv,Reality-TV,2019,tt8905152,8.3,356,US
,tv,"Animation, Comedy, Sci-Fi & Fantasy",2018,,,,JP
Lego Masters,tv,Game-Show,2020,tt9615014,7.5,3329,US
The Watch,tv,"Comedy, Crime, Drama",2020,tt8080292,5.5,6617,JP
,tv,,2011,,,,US
Steven Universe Future,tv,"Action, Adventure, Animation",2019,tt13714610,7.7,5317,US
,tv,Drama,2014,,,,JP
Aikatsu on Parade!,tv,"Adventure, Animation, Comedy",2019,tt13856702,8.1,62,JP
"Wave, Listen to Me!",tv,"Animation, Comedy, Drama",2020,tt11785582,6.9,301,JP
Zomboat!,tv,"Comedy, Horror, Sci-Fi",2019,tt10404664,7,2275,US
Appare-Ranman!,tv,"Adventure, Animation, History",2020,tt11714178,6.8,498,US
Dôki no Sakura,tv,"Comedy, Drama",2019,tt10763106,6,86,JP
Super Shiro,tv,"Animation, Comedy, Family",2019,tt9845246,6.7,29,JP
,tv,Comedy,2012,,,,JP
Diary of Our Days at the Breakwater,tv,"Animation, Comedy, Drama",2020,tt12065758,7.3,195,JP
Infinite Dendrogram,tv,"Adventure, Animation, Fantasy",2020,tt11295582,6,551,"JP, US"
Mushoku Tensei: Jobless Reincarnation,tv,"Action, Adventure, Animation",2021,tt13293588,8.3,24338,"JP, US"
Wandering Witch: The Journey of Elaina,tv,"Adventure, Animation, Comedy",2020,tt12457334,6.9,1303,"JP, US"
Taken at Birth,tv,"Documentary, History",2019,tt11011352,8.2,265,US
Adventure Time: Distant Lands,tv,"Action, Adventure, Animation",2020,tt11165358,8.7,8608,US
,tv,,2019,,,,JP
Chito: Sagishi No Minasan Gochui Kudasai,tv,Crime,2019,tt10963754,7.2,15,JP
Guilt,tv,"Comedy, Crime, Drama",2019,tt9644058,7.4,5686,JP
My Next Life as a Villainess: All Routes Lead to Doom!,tv,"Animation, Comedy, Drama",2020,tt11821792,7.2,1525,JP
Aku No Hado: Satsujin Bunsekihan,tv,"Crime, Fantasy",2019,tt10573034,6.1,32,JP
Vlad Love,tv,"Animation, Comedy, Fantasy",2020,tt10545652,5.8,87,JP
Room Camp,tv,"Adventure, Animation, Comedy",2020,tt10814148,6.9,364,JP
Reservation Dogs,tv,"Comedy, Crime",2021,tt13623580,8.3,25631,US
Shikizakura,tv,"Action, Adventure, Animation",2021,tt9442120,5.7,33,JP
Toilet-bound Hanako-kun,tv,"Animation, Comedy, Fantasy",2020,tt10777610,7.5,2601,"JP, US"
Soukyuu no Fafner Dead Agressor: The Beyond,tv,"Action, Animation, Drama",2019,tt13507782,7.8,15,JP
Hatena Illusion,tv,"Animation, Comedy, Fantasy",2020,tt11455814,6,80,JP
Kakushigoto,tv,"Animation, Comedy, Drama",2020,tt11299538,7.3,1044,JP
Epidemic,tv,Thriller,2020,tt11198202,7.5,397,JP
The Royal Wedding,tv,News,2011,tt1906492,6.8,459,JP
Welcome to Plathville,tv,Reality-TV,2019,tt11399498,5.5,672,US
Laid-Back Camp,tv,"Adventure, Comedy, Drama",2020,tt11311514,7.8,110,JP
Rika,tv,Drama,2019,tt12318176,7,7,JP
Arte,tv,"Animation, Drama, Romance",2020,tt11754514,6.9,523,US
Lost Cities with Albert Lin,tv,"Documentary, History",2019,tt10366494,7.6,745,US
Show by Rock!! Mashumairesh!!,tv,"Animation, Comedy, Music",2020,tt11455784,7.9,66,JP
Abby's Ultimate Dance Competition,tv,Reality-TV,2012,tt2322264,4.4,822,US
Mechanic Butterflys,tv,Crime,2019,tt10800440,6.5,22,JP
Zoey's Extraordinary Playlist,tv,"Comedy, Drama, Musical",2020,tt10314462,8.1,18233,JP
Double Fantasy,tv,Drama,2018,tt8755066,6.6,34,JP
Skate Leading Stars,tv,"Animation, Sport",2020,tt12390430,6.5,107,JP
Soundtrack,tv,"Drama, Musical",2019,tt7913450,6.8,2248,US
,tv,"Animation, Kids",2018,,,,JP
"You, Me, and Bach",tv,"Music, Romance",2019,tt11259488,7,42,JP
Court Cam,tv,Documentary,2019,tt11210072,7.3,425,US
,tv,,2011,,,,JP
Ladhood,tv,"Biography, Comedy",2019,tt11333564,7.3,1184,US
